z,EEC,sys_err,stat_err
9.3073229e-06,14.3360371,1.9635661,0.2828093
1.0612421e-05,13.9186165,1.830893,0.2807494
1.2100524e-05,15.330889,1.5865485,0.2813596
1.3797293e-05,14.1703192,1.4063232,0.2569144
1.5731987e-05,14.0809569,1.2988255,0.2254113
1.793797e-05,14.7150912,1.3389333,0.2391774
2.0453281e-05,13.6284869,1.5409278,0.1811839
2.3321297e-05,15.2571413,1.6697348,0.2022269
2.6591473e-05,13.8128593,1.5271662,0.1557275
3.0320202e-05,14.376272,1.5321033,0.1673242
3.4571784e-05,14.7946153,1.5597732,0.1800207
3.9419535e-05,14.2931272,1.5335366,0.1578914
4.4947051e-05,14.9669165,1.7374166,0.1688752
5.124965e-05,14.5883119,1.822387,0.152519
5.8436016e-05,13.856179,1.5932657,0.1303491
6.6630075e-05,14.1887843,1.4019209,0.132477
7.5973127e-05,13.8297963,1.3350316,0.1196605
8.6626288e-05,13.3127735,1.4787944,0.109425
9.8773264e-05,13.7988577,1.605298,0.1155346
0.00011262352,14.0866875,1.4165411,0.1168478
0.0001284159,13.9870408,1.3520988,0.1061772
0.00014642273,13.475559,1.3474885,0.099144
0.00016695453,13.4285417,1.4723015,0.0920386
0.00019036536,13.4849684,1.4331986,0.0893517
0.00021705891,13.1834859,1.4576896,0.082948
0.00024749551,12.8202663,1.4722273,0.0753645
0.00028220001,12.628294,1.4170366,0.0694422
0.00032177087,12.221334,1.2921357,0.0640436
0.00036689046,11.6862968,1.1206422,0.0580902
0.00041833685,11.4110508,1.1832456,0.0536308
0.0004769972,10.9823441,1.2461156,0.0485276
0.00054388305,10.6428361,1.1320914,0.0442484
0.00062014783,10.073476,1.0588536,0.0391477
0.00070710666,9.6437793,1.0336921,0.0352629
0.0008062591,9.1374513,0.9720008,0.0317946
0.00091931497,8.5923424,0.8313805,0.0285334
0.0010482238,8.1328838,0.6192263,0.0253483
0.0011952087,7.5678534,0.7689263,0.0225761
0.0013628041,6.9897804,0.6761672,0.0197625
0.0015539003,6.4496259,0.5505745,0.0173646
0.0017717924,5.9246087,0.4835228,0.0152015
0.002020238,5.385921,0.4471362,0.0132225
0.0023035214,4.8844923,0.4383306,0.0115118
0.0026265275,4.404355,0.3067365,0.0099436
0.0029948264,3.9102189,0.2872021,0.0084367
0.0034147691,3.477487,0.1692279,0.0072581
0.0038935975,3.0766372,0.1172901,0.0061897
0.0044395684,2.7255155,0.0576737,0.0052561
0.0050620969,2.3974984,0.0442821,0.0044744
0.005771918,2.1009373,0.0372643,0.0038301
0.0065812722,1.8397684,0.0298055,0.0032308
0.0075041163,1.5970243,0.0243584,0.0027562
0.0085563641,1.3989682,0.0304621,0.0023562
0.009756161,1.2183849,0.0303,0.0020032
0.011124197,1.0475739,0.0185639,0.0016934
0.012684062,0.9032705,0.0275389,0.0014288
0.014462656,0.7820095,0.0249052,0.0012116
0.01649065,0.6704518,0.0097791,0.0010245
0.018803014,0.5709027,0.0097501,0.0008512
0.021439624,0.4860794,0.0134831,0.0007175
0.024445947,0.4127439,0.0106422,0.0005959
0.027873825,0.3494908,0.0097865,0.0004978
0.03178237,0.2969767,0.008105,0.0004142
0.036238981,0.2525843,0.006465,0.0003498
0.04132051,0.2156959,0.0052526,0.0002953
0.047114586,0.1847806,0.004397,0.0002507
0.053721123,0.1585152,0.0038355,0.0002146
0.061254046,0.1363395,0.0031785,0.0001823
0.069843257,0.1177866,0.0026583,0.0001564
0.07963687,0.102273,0.0023208,0.0001347
0.090803771,0.0893285,0.0021483,0.0001175
0.10353653,0.077714,0.0018886,0.0001011
0.1180547,0.0683187,0.0016329,8.78e-05
0.13460866,0.060158,0.0016414,7.67e-05
0.15348385,0.0532947,0.0014989,6.67e-05
0.17500578,0.0475551,0.001545,5.93e-05
0.19954557,0.042614,0.0014336,5.2e-05
0.2275264,0.0386145,0.001284,4.66e-05
0.25943078,0.0351299,0.0013864,4.12e-05
0.29580887,0.0324803,0.0013335,3.72e-05
0.33728801,0.0305425,0.0013238,3.37e-05
0.38458346,0.0292412,0.0012726,3.1e-05
0.43851081,0.0287712,0.0012294,2.93e-05
0.5,0.0293314,0.0009007,2.98e-05
0.56148919,0.0311201,0.0012068,3.37e-05
0.61541654,0.0336602,0.0012761,3.8e-05
0.66271199,0.0372526,0.0013706,4.38e-05
0.70419113,0.0416561,0.0014336,5.06e-05
0.74056922,0.0470983,0.001482,5.93e-05
0.7724736,0.0540428,0.0009895,7.11e-05
0.80045443,0.0619319,0.0016364,8.13e-05
0.82499422,0.0718313,0.0015914,9.63e-05
0.84651615,0.083406,0.0014934,0.0001138
0.86539134,0.0970436,0.0019881,0.000136
0.8819453,0.1133864,0.001882,0.0001593
0.89646347,0.1320953,0.002626,0.0001889
0.90919623,0.1547651,0.0027725,0.000224
0.92036313,0.1817062,0.003946,0.0002687
0.93015674,0.2133443,0.0034876,0.0003166
0.93874595,0.2504168,0.0039238,0.0003768
0.94627888,0.2936107,0.0051541,0.0004479
0.95288541,0.3433147,0.0054394,0.0005277
0.95867949,0.4029945,0.0068942,0.0006307
0.96376102,0.4684272,0.0075036,0.0007438
0.96821763,0.5474128,0.0092193,0.0008823
0.97212617,0.6356015,0.0204191,0.0010431
0.97555405,0.7409858,0.0166162,0.0012443
0.97856038,0.8541319,0.0191484,0.0014491
0.98119699,0.9875071,0.0293414,0.0017267
0.98350935,1.1306519,0.036008,0.0020066
0.98553734,1.2951863,0.0479108,0.0023536
0.98731594,1.4750702,0.0584755,0.0027583
0.9888758,1.6756135,0.0521718,0.0032184
0.99024384,1.9047202,0.0750378,0.0037548
0.99144364,2.1391132,0.1147229,0.0043755
0.99249588,2.3973875,0.0837078,0.0050573
0.99341873,2.6783414,0.1040842,0.0058886
0.99422808,2.9745538,0.1456384,0.0068304
0.9949379,3.272573,0.1120197,0.0077689
0.99556043,3.6062092,0.1662916,0.0089063
0.9961064,3.9663018,0.2187783,0.0103616
0.99658523,4.3053221,0.2712001,0.0117773
0.99700517,4.6979065,0.2932553,0.0136027
0.99737347,5.0430595,0.3270723,0.0151257
0.99769648,5.421249,0.2815106,0.0171564
0.99797976,5.7915948,0.3859484,0.0194908
0.99822821,6.1660044,0.421414,0.0215627
0.9984461,6.4876381,0.3755171,0.0241541
0.9986372,6.938568,0.3595776,0.0275825
0.99880479,7.3167562,0.4857098,0.0303846
0.99895178,7.5808413,0.4731746,0.0333539
0.99908069,7.9466204,0.4429385,0.0373574
0.99919374,8.2251093,0.5560357,0.0412153
0.99929289,8.6829886,0.6173409,0.045084
0.99937985,8.9403996,0.5418804,0.0498374
0.99945612,9.0552998,0.439055,0.0544085
0.999523,9.3019302,0.480714,0.0584792
0.99958166,9.6982568,0.3548321,0.0656051
0.99963311,9.911009,0.552157,0.0704928
0.99967823,10.0391584,0.649348,0.0767502
0.9997178,10.2517763,0.6672818,0.0836343
0.9997525,10.4742151,0.6286908,0.0888595
0.99978294,10.5816923,0.6625548,0.0936474
0.99980963,10.5775003,0.7040868,0.099037
0.99983305,10.6241768,0.6680456,0.1054759
0.99985358,11.1738875,0.5102768,0.1199876
0.99987158,10.9291767,0.4485116,0.1208451
0.99988738,11.3166836,0.6175598,0.1329372
0.99990123,11.3148904,0.6498133,0.1374339
0.99991337,10.8737489,0.6130941,0.1447252
0.99992403,11.2676607,0.7228701,0.1492109
0.99993337,11.4311534,0.7383736,0.1620052
0.99994156,11.7878544,0.8716198,0.1752867
0.99994875,11.506893,0.788932,0.1891351
0.99995505,11.466661,1.1361912,0.2037122
0.99996058,11.4767685,1.0424511,0.1924576
0.99996543,11.2371335,0.8934149,0.206683
0.99996968,11.6197839,0.8222789,0.2460927
0.99997341,11.7584053,0.9872579,0.2685113
0.99997668,11.9711999,0.8760633,0.2535155
0.99997955,11.1337557,0.9057251,0.2381263
0.99998206,11.3598849,0.9549335,0.2737803
0.99998427,11.2453814,0.8991772,0.2855832
0.9999862,11.9346633,1.1861966,0.4160471
0.9999879,11.8958743,0.8808597,0.3709844
0.99998939,11.3212205,1.1496591,0.4221128
0.99999069,13.1193865,0.9479368,0.5707814
